date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:12	65/65	---M--	200	added ('OK')	text/plain	etag:%2259e5dee0-41%22	https://ngoc-thien.com/robots.txt		(from )
14:50:12	43082/43082	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Oct%202017%2007:50:12%20GMT	https://ngoc-thien.com/	D:/WEB/webwedding/ngoc-thien.com/index.html	(from )
14:50:12	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2024%20Oct%202017%2007:50:13%20GMT	https://ngoc-thien.com/xmlrpc.php	D:/WEB/webwedding/ngoc-thien.com/xmlrpc.php	(from https://ngoc-thien.com/)
14:50:12	37326/37326	---MCZ	200	added ('OK')	text/css	etag:W/%2259e6b4eb-91ce%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css	(from https://ngoc-thien.com/)
14:50:12	199/199	---M--	200	added ('OK')	text/css	etag:%2259e6b4eb-c7%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/style-front-end.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/style-front-end.css	(from https://ngoc-thien.com/)
14:50:13	4517/4517	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed581c-11a5%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-ffwd_frontend-1.0.28.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-ffwd_frontend-1.0.28.css	(from https://ngoc-thien.com/)
14:50:13	27581/27581	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed581c-6bbd%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-font-awesome-font-awesome-4.4.0.css	(from https://ngoc-thien.com/)
14:50:13	1870/1870	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2023%20Oct%202017%2003:27:51%20GMT	https://ngoc-thien.com/feed/	D:/WEB/webwedding/ngoc-thien.com/feed/index.html	(from https://ngoc-thien.com/)
14:50:13	13306/13306	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed581c-33fa%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-jquery.mCustomScrollbar-1.0.28.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-css-jquery.mCustomScrollbar-1.0.28.css	(from https://ngoc-thien.com/)
14:50:13	603/603	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed5a30-25b%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-fl-icons-3.3.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-fl-icons-3.3.css	(from https://ngoc-thien.com/)
14:50:13	147319/147319	---MCZ	200	added ('OK')	text/css	etag:W/%2259ed5822-23f77%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-flatsome-3.4.0.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-css-flatsome-3.4.0.css	(from https://ngoc-thien.com/)
14:50:14	303/303	---M--	200	added ('OK')	text/css	etag:%2259ed5822-12f%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-child-style-3.4.0.css	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-child-style-3.4.0.css	(from https://ngoc-thien.com/)
